Date,Open,High,Low,Close,Adj Close,Volume
2022-06-23,376.6400146484375,378.8299865722656,372.8900146484375,378.05999755859375,371.985595703125,79292100
2022-06-24,381.3999938964844,390.0899963378906,381.3699951171875,390.0799865722656,383.8124084472656,98050300
2022-06-27,391.04998779296875,391.3599853515625,387.44000244140625,388.5899963378906,382.34637451171875,66009600
2022-06-28,390.2300109863281,393.1600036621094,380.5299987792969,380.6499938964844,374.5339660644531,86548900
2022-06-29,381.2300109863281,382.2699890136719,378.4200134277344,380.3399963378906,374.2289123535156,65676000
2022-06-30,376.239990234375,380.6600036621094,372.55999755859375,377.25,371.1885681152344,112508300
2022-07-01,376.55999755859375,381.70001220703125,373.79998779296875,381.239990234375,375.1144714355469,74839700
2022-07-05,375.8800048828125,381.9800109863281,372.8999938964844,381.9599914550781,375.8229064941406,81438000
2022-07-06,382.1099853515625,385.8699951171875,379.6000061035156,383.25,377.0921325683594,70426200
2022-07-07,385.1199951171875,389.8299865722656,383.2699890136719,388.989990234375,382.7398986816406,64525900
2022-07-08,387.2699890136719,390.6400146484375,385.6600036621094,388.6700134277344,382.42510986328125,72397800
2022-07-11,385.8500061035156,386.8699951171875,383.5,384.2300109863281,378.05645751953125,58366900
2022-07-12,383.6499938964844,386.1600036621094,378.989990234375,380.8299865722656,374.7110290527344,62219200
2022-07-13,375.1000061035156,381.9200134277344,374.6600036621094,378.8299865722656,372.7431640625,84224600
2022-07-14,373.6099853515625,379.04998779296875,371.0400085449219,377.9100036621094,371.8379821777344,89704800
2022-07-15,382.54998779296875,385.25,380.5400085449219,385.1300048828125,378.9419250488281,79060400
2022-07-18,388.3800048828125,389.0899963378906,380.6600036621094,381.95001220703125,375.8130798339844,63203600
2022-07-19,386.0799865722656,392.8699951171875,385.3900146484375,392.2699890136719,385.9672546386719,78506000
2022-07-20,392.4700012207031,396.260009765625,391.0299987792969,394.7699890136719,388.42706298828125,71843800
2022-07-21,394.1600036621094,398.8399963378906,391.6300048828125,398.7900085449219,392.3824768066406,64903900
2022-07-22,398.9200134277344,400.17999267578125,392.75,395.0899963378906,388.7419128417969,72197300
2022-07-25,395.75,396.4700012207031,393.2099914550781,395.57000732421875,389.2142333984375,53631500
2022-07-26,393.8399963378906,394.05999755859375,389.95001220703125,390.8900146484375,384.60943603515625,52946400
2022-07-27,394.3599853515625,402.8800048828125,394.04998779296875,401.0400085449219,394.5963134765625,82342100
2022-07-28,401.8900146484375,406.79998779296875,398.1499938964844,406.07000732421875,399.5455322265625,73966600
2022-07-29,407.5799865722656,413.0299987792969,406.7699890136719,411.989990234375,405.370361328125,87003700
2022-08-01,409.1499938964844,413.4100036621094,408.3999938964844,410.7699890136719,404.16998291015625,69997500
